org.jenkins-ci,task-reactor
org.jvnet.localizer,localizer
antlr,antlr
org.jfree,jfreechart
commons-beanutils,commons-beanutils
org.apache.commons,commons-compress
commons-collections,commons-collections
commons-fileupload,commons-fileupload
com.sun.xml.txw2,txw2
org.jvnet.winp,winp
org.jenkins-ci,memory-monitor
org.codehaus.woodstox,wstx-asl
net.java.dev.jna,jna
org.kohsuke,akuma
org.kohsuke,libpam4j
com.sun.solaris,embedded_su4j
net.java.sezpoz,sezpoz
org.kohsuke.jinterop,j-interop
org.jvnet.robust-http-client,robust-http-client
com.sun.mail,jakarta.mail
com.thoughtworks.xstream,xstream
net.sf.kxml,kxml2
org.codehaus.groovy,groovy-all
org.fusesource.jansi,jansi
org.kohsuke.stapler,stapler
org.kohsuke.stapler,stapler-groovy
org.kohsuke.stapler,stapler-adjunct-timeline
org.kohsuke.stapler,stapler-adjunct-codemirror
io.jenkins.stapler,jenkins-stapler-support
org.kohsuke.stapler,json-lib
com.jcraft,jzlib
commons-jelly,commons-jelly-tags-fmt
commons-jelly,commons-jelly-tags-xml
org.jvnet.hudson,commons-jelly-tags-define
org.jenkins-ci,commons-jexl
jakarta.servlet.jsp.jstl,jakarta.servlet.jsp.jstl-api
jaxen,jaxen
org.jenkins-ci.modules,instance-identity
org.jenkins-ci.modules,slave-installer
org.jenkins-ci.modules,windows-slave-installer
org.jenkins-ci.modules,launchd-slave-installer
org.jenkins-ci.modules,upstart-slave-installer
org.jenkins-ci.modules,systemd-slave-installer
org.springframework.security,spring-security-acl
org.springframework.security,spring-security-aspects
org.springframework.security,spring-security-cas
org.springframework.security,spring-security-config
org.springframework.security,spring-security-core
org.springframework.security,spring-security-crypto
org.springframework.security,spring-security-data
org.springframework.security,spring-security-ldap
org.springframework.security,spring-security-messaging
org.springframework.security,spring-security-oauth2-client
org.springframework.security,spring-security-oauth2-core
org.springframework.security,spring-security-oauth2-jose
org.springframework.security,spring-security-oauth2-resource-server
org.springframework.security,spring-security-openid
org.springframework.security,spring-security-remoting
org.springframework.security,spring-security-rsocket
org.springframework.security,spring-security-saml2-service-provider
org.springframework.security,spring-security-taglibs
org.springframework.security,spring-security-test
org.springframework.security,spring-security-web
